benchmark,bitwidth,status,trace_length,time_s
s_split_41,32,Success,5100,2.25
s_split_42,32,Success,17800,10.82
s_split_22,32,Failed (Code -6),0,2147.58
s_split_44,32,Success,2100,1.23
s_split_43,32,Timeout,0,4200
s_split_46,32,Success,1300,0.67
s_split_45,32,Timeout,0,4200
s_split_48,32,Success,10100,4.49
s_split_49,32,Success,15100,6.48
s_split_50,32,Failed (Code -6),0,66.94
s_split_51,32,Success,10100,7.13
s_split_52,32,Success,10100,9.01
s_split_53,32,Success,2400,1.71
s_split_54,32,Success,16100,9.05
s_split_55,32,Success,300,0.33
s_split_56,32,Success,200,0.06
s_split_57,32,Success,3100,2.58
s_split_58,32,Success,1200,11.3
s_split_47,32,Timeout,0,4200
