Benchmark,PBE_Status,PBE_Time,TR_Status,TR_Time
s_split_26/bv32_s_split_26.smt2,SUCCESS,0.16,FAIL,0.08
s_split_26/bv64_s_split_26.smt2,SUCCESS,0.64,FAIL,0.54
s_split_27/bv16_s_split_27.smt2,SUCCESS,0.12,FAIL,0.04
s_split_27/bv32_s_split_27.smt2,SUCCESS,0.15,FAIL,0.07
s_split_27/bv64_s_split_27.smt2,SUCCESS,0.51,FAIL,0.42
s_split_28/bv16_s_split_28.smt2,SUCCESS,0.18,FAIL,0.04
s_split_28/bv32_s_split_28.smt2,SUCCESS,0.22,FAIL,0.08
s_split_28/bv64_s_split_28.smt2,SUCCESS,0.60,FAIL,0.45
s_split_29/bv16_s_split_29.smt2,TIMEOUT,60.00,TIMEOUT,60.00
s_split_29/bv32_s_split_29.smt2,TIMEOUT,60.00,TIMEOUT,60.00
s_split_29/bv64_s_split_29.smt2,TIMEOUT,60.00,TIMEOUT,60.00
s_split_30/bv16_s_split_30.smt2,TIMEOUT,60.00,TIMEOUT,60.00
s_split_30/bv32_s_split_30.smt2,TIMEOUT,60.00,TIMEOUT,60.00
s_split_30/bv64_s_split_30.smt2,TIMEOUT,60.00,TIMEOUT,60.00
s_split_31/bv16_s_split_31.smt2,TIMEOUT,60.00,FAIL,0.04
s_split_31/bv32_s_split_31.smt2,TIMEOUT,60.00,FAIL,0.04
s_split_31/bv64_s_split_31.smt2,TIMEOUT,60.00,FAIL,0.05
s_split_32/bv16_s_split_32.smt2,TIMEOUT,60.00,FAIL,0.04
s_split_32/bv32_s_split_32.smt2,TIMEOUT,60.00,FAIL,0.05
s_split_32/bv64_s_split_32.smt2,TIMEOUT,60.00,FAIL,0.08
s_split_33/bv16_s_split_33.smt2,SUCCESS,0.10,FAIL,0.05
s_split_33/bv32_s_split_33.smt2,SUCCESS,0.23,FAIL,0.24
s_split_33/bv64_s_split_33.smt2,SUCCESS,2.92,FAIL,2.88
s_split_34/bv16_s_split_34.smt2,SUCCESS,0.11,FAIL,0.03
s_split_34/bv32_s_split_34.smt2,SUCCESS,0.11,FAIL,0.03
s_split_34/bv64_s_split_34.smt2,SUCCESS,0.12,FAIL,0.04
s_split_35/bv16_s_split_35.smt2,SUCCESS,1.09,TIMEOUT,60.00
s_split_35/bv32_s_split_35.smt2,SUCCESS,1.10,TIMEOUT,60.00
s_split_35/bv64_s_split_35.smt2,SUCCESS,1.16,TIMEOUT,60.00
s_split_36/bv16_s_split_36.smt2,TIMEOUT,60.00,TIMEOUT,60.00
s_split_36/bv32_s_split_36.smt2,TIMEOUT,60.00,TIMEOUT,60.00
s_split_36/bv64_s_split_36.smt2,TIMEOUT,60.00,TIMEOUT,60.00
s_split_37/bv16_s_split_37.smt2,TIMEOUT,60.00,TIMEOUT,60.00
s_split_37/bv32_s_split_37.smt2,TIMEOUT,60.00,TIMEOUT,60.00
s_split_37/bv64_s_split_37.smt2,TIMEOUT,60.00,TIMEOUT,60.00
s_split_38/bv16_s_split_38.smt2,TIMEOUT,60.00,TIMEOUT,60.00
s_split_38/bv32_s_split_38.smt2,TIMEOUT,60.00,TIMEOUT,60.00
s_split_38/bv64_s_split_38.smt2,TIMEOUT,60.00,TIMEOUT,60.00
s_split_39/bv16_s_split_39.smt2,TIMEOUT,60.00,FAIL,0.04
s_split_39/bv32_s_split_39.smt2,TIMEOUT,60.00,FAIL,0.07
s_split_39/bv64_s_split_39.smt2,TIMEOUT,60.00,FAIL,0.40
s_split_40/bv16_s_split_40.smt2,TIMEOUT,60.00,FAIL,0.05
s_split_40/bv32_s_split_40.smt2,TIMEOUT,60.00,FAIL,0.11
s_split_40/bv64_s_split_40.smt2,TIMEOUT,60.00,FAIL,0.67
s_split_41/bv16_s_split_41.smt2,TIMEOUT,60.00,FAIL,0.03
s_split_41/bv32_s_split_41.smt2,TIMEOUT,60.00,FAIL,0.04
s_split_41/bv64_s_split_41.smt2,TIMEOUT,60.00,FAIL,0.05
s_split_42/bv16_s_split_42.smt2,SUCCESS,0.12,TIMEOUT,60.00
s_split_42/bv32_s_split_42.smt2,SUCCESS,0.12,TIMEOUT,60.00
s_split_42/bv64_s_split_42.smt2,SUCCESS,0.14,TIMEOUT,60.00
s_split_43/bv16_s_split_43.smt2,SUCCESS,0.11,TIMEOUT,60.00
s_split_43/bv32_s_split_43.smt2,SUCCESS,0.11,TIMEOUT,60.00
s_split_43/bv64_s_split_43.smt2,SUCCESS,0.12,TIMEOUT,60.00
s_split_44/bv16_s_split_44.smt2,TIMEOUT,60.00,TIMEOUT,60.00
s_split_44/bv32_s_split_44.smt2,TIMEOUT,60.00,TIMEOUT,60.00
s_split_44/bv64_s_split_44.smt2,TIMEOUT,60.00,TIMEOUT,60.00
s_split_45/bv16_s_split_45.smt2,SUCCESS,0.12,TIMEOUT,60.00
s_split_45/bv32_s_split_45.smt2,SUCCESS,0.12,TIMEOUT,60.00
s_split_45/bv64_s_split_45.smt2,SUCCESS,0.13,TIMEOUT,60.00
s_split_46/bv16_s_split_46.smt2,SUCCESS,0.11,FAIL,0.04
